b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,samples,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains,path_schedule,deterministic_numerator,deterministic_denominator
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,pre_batch,2796202,17,99104,0.03544236074503916,4.818381488,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,pre_batch,2796202,18,59265,0.02119482068892018,5.560144429,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,pre_batch,2796202,19,35142,0.01256776155656852,6.314128475,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,pre_batch,2796202,20,20427,0.00730526621467262,7.096847437,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,pre_batch,2796202,21,11752,0.00420284371443837,7.894418475,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,pre_batch,2796202,22,6749,0.00241363106098916,8.694579117,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,pre_batch,2796202,23,3812,0.00136327776033348,9.518704751,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,pre_batch,2796202,24,2179,0.00077927131158622,10.325586674,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,pre_batch,2796202,25,1232,0.00044059763922635,11.148250615,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,pre_batch,2796202,26,669,0.00023925310117080,12.029174755,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,pre_batch,2796202,27,367,0.00013124945908772,12.895400902,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,pre_batch,2796202,28,193,0.00006902219510608,13.822580118,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,pre_batch,2796202,29,88,0.00003147125994474,14.955605537,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,pre_batch,2796202,30,47,0.00001680851383412,15.860448304,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,pre_batch,2796202,31,27,0.00000965595475577,16.660149653,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,pre_batch,2796202,32,18,0.00000643730317051,17.245112154,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,pre_batch,2796202,33,7,0.00000250339567742,18.607682233,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,pre_batch,2796202,34,3,0.00000107288386175,19.830074655,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,pre_batch,2796202,35,3,0.00000107288386175,19.830074655,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,pre_batch,2796202,36,1,0.00000035762795392,21.415037155,fixed,1,access-plus-rate-deterministic,1,6
2,8,2,65536,2097152,16777216,cycle,16,random,os-getrandom,random-old-and-new-paths,pre_batch,2796202,37,0,0.00000000000000000,inf,fixed,1,access-plus-rate-deterministic,1,6
