b,z,y,n,operations,epoch_operations,epoch,first_operation,last_operation,workload,bucket_slots,metric,threshold,exceed_count,probability,log2_inverse,minimum,mean,maximum,path_schedule,deterministic_numerator,deterministic_denominator,rng_source,initialization
2,3,1,1048576,33554432,65536,4,262144,327680,cycle,3,insertion,10,0,0.00000000000000000,inf,1,1.701614380,10,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,5,327680,393216,cycle,3,post,0,31437,0.47969055175781250,1.059824071,0,0.615051270,7,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,5,327680,393216,cycle,3,post,1,7044,0.10748291015625000,3.217820806,0,0.615051270,7,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,5,327680,393216,cycle,3,post,2,1353,0.02064514160156250,5.598053876,0,0.615051270,7,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,5,327680,393216,cycle,3,post,3,365,0.00556945800781250,7.488247346,0,0.615051270,7,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,5,327680,393216,cycle,3,post,4,89,0.00135803222656250,9.524266569,0,0.615051270,7,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,5,327680,393216,cycle,3,post,5,17,0.00025939941406250,11.912537159,0,0.615051270,7,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,5,327680,393216,cycle,3,post,6,3,0.00004577636718750,14.415037499,0,0.615051270,7,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,5,327680,393216,cycle,3,post,7,0,0.00000000000000000,inf,0,0.615051270,7,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,5,327680,393216,cycle,3,insertion,0,65536,1.00000000000000000,-0.000000000,1,1.615051270,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,5,327680,393216,cycle,3,insertion,1,31437,0.47969055175781250,1.059824071,1,1.615051270,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,5,327680,393216,cycle,3,insertion,2,7044,0.10748291015625000,3.217820806,1,1.615051270,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,5,327680,393216,cycle,3,insertion,3,1353,0.02064514160156250,5.598053876,1,1.615051270,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,5,327680,393216,cycle,3,insertion,4,365,0.00556945800781250,7.488247346,1,1.615051270,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,5,327680,393216,cycle,3,insertion,5,89,0.00135803222656250,9.524266569,1,1.615051270,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,5,327680,393216,cycle,3,insertion,6,17,0.00025939941406250,11.912537159,1,1.615051270,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,5,327680,393216,cycle,3,insertion,7,3,0.00004577636718750,14.415037499,1,1.615051270,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,5,327680,393216,cycle,3,insertion,8,0,0.00000000000000000,inf,1,1.615051270,8,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
2,3,1,1048576,33554432,65536,6,393216,458752,cycle,3,post,0,31326,0.47799682617187500,1.064927056,0,0.612457275,9,access-plus-rate-deterministic,2,3,os-getrandom,random-old-and-new-paths
