dataset,x,load_percent,metric,source,minimum_bits,minimum_count,epoch,points,fit_min_bits,fit_max_bits,intercept,slope_blocks_per_bit,residual_blocks,r_squared,estimate_at_2^-96
control,8,105,post,full-window,6.000000000,32,,12,6.609341902,21.540568381,1.987917590,0.764971109,0.195484257,0.997327686,75.425144088
control,8,105,post,full-window,6.000000000,64,,11,6.609341902,19.548788888,1.739053201,0.787315658,0.079485242,0.999483081,77.321356348
control,8,105,post,full-window,6.000000000,256,,10,6.609341902,17.942008277,1.663689944,0.794453507,0.062828605,0.999617219,77.931226589
control,8,105,post,full-window,6.000000000,1024,,9,6.609341902,16.719229230,1.716605611,0.789178564,0.055276950,0.999643520,77.477747715
control,8,105,post,full-window,8.000000000,32,,10,9.246809372,21.540568381,2.083798791,0.759296983,0.215258770,0.995506779,74.976309136
control,8,105,post,full-window,8.000000000,64,,9,9.246809372,19.548788888,1.656209623,0.792584257,0.084800075,0.999161044,77.744298299
control,8,105,post,full-window,8.000000000,256,,8,9.246809372,17.942008277,1.487791506,0.806290803,0.046186955,0.999695252,78.891708575
control,8,105,post,full-window,8.000000000,1024,,7,9.246809372,16.719229230,1.548242298,0.801156295,0.043033739,0.999669303,78.459246648
control,8,105,post,full-window,10.000000000,32,,9,10.540616412,21.540568381,2.195950541,0.752886936,0.224927508,0.994097555,74.473096391
control,8,105,post,full-window,10.000000000,64,,8,10.540616412,19.548788888,1.635261128,0.793861163,0.091267534,0.998810034,77.845932791
control,8,105,post,full-window,10.000000000,256,,7,10.540616412,17.942008277,1.383453040,0.813027500,0.037993284,0.999742234,79.434093070
control,8,105,post,full-window,10.000000000,1024,,6,10.540616412,16.719229230,1.442191825,0.808377634,0.037562669,0.999677496,79.046444644
control,8,105,post,full-window,12.000000000,32,,7,13.096400547,21.540568381,2.672052389,0.726786926,0.237840302,0.989898570,72.443597271
control,8,105,post,full-window,12.000000000,64,,6,13.096400547,19.548788888,1.715387045,0.789212287,0.110176864,0.997225385,77.479766558
control,8,105,post,full-window,12.000000000,256,,5,13.096400547,17.942008277,1.128541310,0.828850416,0.017944722,0.999903396,80.698181263
control,8,105,post,full-window,12.000000000,1024,,4,13.096400547,16.719229230,1.129833122,0.828760223,0.021976359,0.999806816,80.690814567
control,8,105,post,epoch,6,32,0,10,6.653564179,18.912537159,2.198783385,0.723870529,0.071918459,0.999498447,71.690354194
control,8,105,post,epoch,6,32,1,9,6.642233243,17.624960569,2.136465792,0.736420702,0.056721015,0.999624651,72.832853187
control,8,105,post,epoch,6,32,2,10,6.520496014,18.508146904,2.121346784,0.764333848,0.148146490,0.997871769,75.497396206
control,8,105,post,epoch,6,32,3,11,6.565958247,17.696219252,0.812269000,0.898451979,0.216790680,0.996154693,87.063659003
control,8,105,post,epoch,6,32,4,11,6.655955545,18.192645078,0.613764087,0.900157646,0.314166108,0.991924517,87.028898112
control,8,105,post,epoch,6,32,5,10,6.600855615,18.415037499,1.737583247,0.791683398,0.169205202,0.997223719,77.739189438
