b,z,n,warmup,operations,workload,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,path_schedule,deterministic_numerator,deterministic_denominator
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,6,35026,0.03340339660644531,4.903861380,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,7,31296,0.02984619140625000,5.066309345,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,8,28330,0.02701759338378906,5.209957019,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,9,25838,0.02464103698730469,5.342793218,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,10,23717,0.02261829376220703,5.466366088,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,11,21770,0.02076148986816406,5.589946213,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,12,20046,0.01911735534667969,5.708973232,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,13,18546,0.01768684387207031,5.821179560,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,14,17214,0.01641654968261719,5.928705247,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,15,16060,0.01531600952148438,6.028815728,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,16,15103,0.01440334320068359,6.117452471,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,17,14176,0.01351928710937500,6.208837111,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,18,13387,0.01276683807373047,6.291454929,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,19,12648,0.01206207275390625,6.373378348,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,20,11940,0.01138687133789062,6.456484784,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,21,11294,0.01077079772949219,6.536731084,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,22,10699,0.01020336151123047,6.614811661,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,23,10136,0.00966644287109375,6.692799191,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,24,9663,0.00921535491943359,6.761744554,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,25,9185,0.00875949859619141,6.834935994,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,26,8767,0.00836086273193359,6.902132467,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,27,8353,0.00796604156494141,6.971921277,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,28,7976,0.00760650634765625,7.038550306,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,29,7627,0.00727367401123047,7.103100016,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,30,7306,0.00696754455566406,7.165133962,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,31,6973,0.00664997100830078,7.232436234,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,32,6625,0.00631809234619141,7.306295261,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,33,6300,0.00600814819335938,7.378863887,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,34,6029,0.00574970245361328,7.442296986,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,35,5770,0.00550270080566406,7.505644396,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,36,5518,0.00526237487792969,7.570070259,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,37,5271,0.00502681732177734,7.636139023,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,38,5027,0.00479412078857422,7.704518026,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,39,4757,0.00453662872314453,7.784163690,legacy-root-lane,access-plus-rate-deterministic,2,3
2,4,1048576,33554432,1048576,cycle,os-getrandom,random-old-and-new-paths,insertion,40,4553,0.00434207916259766,7.847398256,legacy-root-lane,access-plus-rate-deterministic,2,3
