b,z,y,n,warmup,operations,workload,bucket_slots,queue_policy,rng_source,initialization,metric,threshold,exceed_count,probability,log2_inverse,eviction_policy,eviction_chains
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,88,176,0.00008392333984375,13.540568381,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,89,134,0.00006389617919922,13.933910810,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,90,105,0.00005006790161133,14.285754482,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,91,73,0.00003480911254883,14.810175441,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,92,51,0.00002431869506836,15.327574658,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,93,40,0.00001907348632812,15.678071905,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,94,27,0.00001287460327148,16.245112498,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,95,17,0.00000810623168945,16.912537159,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,96,9,0.00000429153442383,17.830074999,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,97,7,0.00000333786010742,18.192645078,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,98,6,0.00000286102294922,18.415037499,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,99,2,0.00000095367431641,20.000000000,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,post,100,0,0.00000000000000000,inf,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,0,2097152,1.00000000000000000,-0.000000000,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,1,2096564,0.99971961975097656,0.000404560,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,2,2091587,0.99734640121459961,0.003833422,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,3,2077543,0.99064970016479492,0.013553093,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,4,2054421,0.97962427139282227,0.029699576,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,5,2024603,0.96540594100952148,0.050792390,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,6,1989768,0.94879531860351562,0.075831203,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,7,1950685,0.93015909194946289,0.104450603,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,8,1907893,0.90975427627563477,0.136451167,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,9,1861845,0.88779687881469727,0.171698458,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,10,1811903,0.86398267745971680,0.210925708,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,11,1759073,0.83879137039184570,0.253616076,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,12,1703170,0.81213474273681641,0.300208987,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,13,1644878,0.78433895111083984,0.350450847,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,14,1584121,0.75536775588989258,0.404748894,fixed,3
4,1,8,262144,4194304,2097152,cycle,8,shared,os-getrandom,random-old-and-new-paths,insertion,15,1521583,0.72554731369018555,0.462858398,fixed,3
